
Price,Bed_number,Bath_number,Square_foot,Info4,Description,Content,Name
"$5,300 per month",4 Beds,4.5 Baths,"2,100 Sq Ft",Condo for Rent,,"479 Fulton St Unit 1, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"2,100 Sq Ft",Condo for Rent,,"479 Fulton St Unit 1, Medford, MA 02155",
"$3,000 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"This property is situated in an unbeatable location in Medford just minutes to Tufts University! Near parks, shopping, outdoor recreation, dining, nightlife, bars, and more! Convenient short trip to Red Line at Davis station as well as many major MBTA bus routes! Close to Davis Square, Teele Square, Powder House Square, Porter Square, as well as a quick T ride to Cambridge’s Harvard, Central, and","20 Burget Ave Unit T, Medford, MA 02155",
"$2,750 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,,"11 5th St Unit 3, Medford, MA 02155",
"$2,500 per month",2 Beds,1 Bath,950 Sq Ft,Condo for Rent,"Charming 2-Bedroom, 1-Bathroom Apartment153 4th St, Medford, MA 02155Comfort & Convenience in Medford:Welcome to 153 4th St, a delightful 2-bedroom, 1-bathroom apartment nestled in the heart of Medford. This unit boasts a spacious layout, modern amenities, and a location that offers easy access to local attractions, schools, and transportation hubs. Perfect for professionals,","153 4th St Unit 153, Medford, MA 02155",
"$2,750 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,,"11 5th St Unit 3, Medford, MA 02155",
"$2,600 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"101 Boston Ave Unit 1, Medford, MA 02155",
"$7,200 per month",6 Beds,6 Baths,"2,215 Sq Ft",Condo for Rent,"New construction six bedroom, six and a half bathrooms . Modern kitchen with granite countertops, custom cabinets and stainless steel appliances. Modern bathroom with high end finishes. Central A/C. Laundry in unit. 10 minute walk to Ball Square Greenline T stop. Off street parking included. Pet friendly. No security deposit.","43 Wright Ave Unit 1, Medford, MA 02155",
"$2,750 per month",2 Beds,1 Bath,900 Sq Ft,Condo for Rent,,"11 5th St Unit 3, Medford, MA 02155",
"$3,000 per month",2 Beds,1.5 Baths,"1,050 Sq Ft",Condo for Rent,"Charming 2-Bedroom, 1.5-Bath Townhouse Near Tufts UniversityLocated just a short walk from Tufts University and minutes from the heart of Medford and Somerville, this delightful 2-bedroom, 1.5-bath townhouse offers a perfect blend of suburban tranquility and urban convenience. With spacious rooms, updated finishes, and a prime location, this home is ideal for students, professionals,","29 Capen St Unit 2, Medford, MA 02155",
"$4,600 per month",4 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"Charming 4-Bedroom, 1-Bath Apartment in MedfordThis spacious 4-bedroom, 1-bath apartment on a quiet street in Medford offers comfortable and convenient living with easy access to Tufts University, Medford Square, and Davis Square. With ample space, updated features, and proximity to parks and local amenities, this apartment is an ideal choice for students, families, or professionals","82 Quincy St Unit 2, Medford, MA 02155",
"$2,700 per month",2 Beds,1 Bath,900 Sq Ft,Condo for Rent,,"43 Orchard St, Medford, MA 02155",
"$7,000 per month",6 Beds,1.5 Baths,"2,200 Sq Ft",Condo for Rent,"Charming 2-Bedroom Apartment Near Tufts UniversityEnjoy the perfect balance of comfort and convenience at this 2-bedroom, 1.5-bathroom apartment, ideally located near Tufts University. With a spacious layout, modern amenities, and close proximity to campus, this unit is ideal for students, professionals, or small families looking for easy access to Medford, Somerville, and","252 Harvard St Unit 252, Medford, MA 02155",
"$6,500 per month",5 Beds,2 Baths,"1,536 Sq Ft",Condo for Rent,"Spacious 5-Bedroom Home Near Tufts UniversityDiscover comfortable and convenient living at this expansive 5-bedroom, 2-bathroom home located just minutes from Tufts University. With spacious rooms, modern amenities, and easy access to everything Medford has to offer, this property is ideal for students, professionals, or families seeking a great location and plenty of space.Key","136 Burget Ave Unit 136, Medford, MA 02155",
"$3,000 per month",2 Beds,1 Bath,900 Sq Ft,Condo for Rent,,"19 Berwick Rd Unit 1, Medford, MA 02155",
"$3,000 per month",2 Beds,1 Bath,900 Sq Ft,Condo for Rent,,"19 Berwick Rd Unit 1, Medford, MA 02155",
"$4,900 per month",4 Beds,1 Bath,"1,600 Sq Ft",Condo for Rent,,"77 Pearson Rd, Somerville, MA 02144",
"$5,000 per month",4 Beds,3.5 Baths,"9,999 Sq Ft",Condo for Rent,"Stunning 4-bedroom with 3.5 bathrooms located in Medford. This unit features: -Stainless steel appliances-Hardwood floors-Large bedrooms-In unit washer and dryer-Dishwasher-EV charging ports.-Big closets and pantry.  Located in the heart of Medford close to many shops, restaurants, and public transportation. Unit won't last reach out now for a tour.Text or email","64 Marshall St Unit 2, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"9,999 Sq Ft",Condo for Rent,"Air conditioning, Central Air, Dishwasher, Granite Counter Tops, Hardwood Floors, Laundry in Unit, New Appliances, New Construction, New/Renovated Bath, New/Renovated Kitchen, Stainless Steel Appliance(s)Contact EDGE for more information on this listing, and hundreds of our other listings! See why more people are choosing the highest and most-reviewed real estate firm in Massachusetts.","27 1st St Unit 1, Medford, MA 02155",
"$2,950 per month",2 Beds,1 Bath,900 Sq Ft,Condo for Rent,,"66 Morton Ave Unit 1, Medford, MA 02155",
"$4,495 per month",5 Beds,2 Baths,"1,800 Sq Ft",Condo for Rent,"Stunning 5-bedroom with 2 bathrooms located in Medford. This unit features: -Stainless steel appliances-Hardwood floors-Large bedrooms-In building washer and dryer-Dishwasher-Central A/C Located in the heart of Medford close to many shops, restaurants, and public transportation. Close to the new MEDFORD/TUFTS Green line stop! Unit won't last reach out now for a","207 Boston Ave Unit A, Medford, MA 02155",
"$3,425 per month",4-5 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,"Spacious 4-Bedroom, 1-Bathroom Apartment in Medford227 Boston Ave., #1, Medford, MA 02155Comfortable & Convenient Living Near Tufts University:Welcome to 227 Boston Ave., Unit 1, a 4-bedroom, 1-bathroom apartment offering generous living space in an unbeatable Medford location. Just minutes from Tufts University, public transportation, and local conveniences, this unit is","227 Boston Ave Unit 1, Medford, MA 02155",
"$7,700 per month",6 Beds,6 Baths,"2,700 Sq Ft",Condo for Rent,"Oversized single family house in Medford. 7 bedrooms and 6 and 1/2 bathrooms. 4 Floors of Living space. Dining room, Living room and Bonus room in basement. One car garage. Additional Off street parking. 2 separate Decks. Washer/dryer in unit. Hardwood floors. Stainless steel appliances and granite counter tops. High end finishes. Available September. Pets Welcome.","174 Fulton St, Medford, MA 02155",
"$5,700 per month",5 Beds,3 Baths,"2,500 Sq Ft",Condo for Rent,"Renovated 5 bedroom 3 bathroom duplex. Parking included. Available September 1st. Laundry in unit. Small pets ok. Hardwood floors. Private Porch. Somerville Line - Ball Square Area. Newer heating system. First, last, no security. Call, text, email today for showings!","11 Winter Hill Rd, Medford, MA 02155",
"$5,700 per month",5 Beds,4 Baths,"1,850 Sq Ft",Condo for Rent,,"103 Magoun Ave Unit 1, Medford, MA 02155",
"$3,600 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"10 Pinkham Rd Unit 2, Medford, MA 02155",
"$3,600 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"10 Pinkham Rd Unit 2, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"10,000 Sq Ft",Condo for Rent,,"39 Harvard St Unit 2, Medford, MA 02155",
"$8,900 per month",6 Beds,6.5 Baths,"3,000 Sq Ft",House for Rent,"7 beds 9 baths. Newly renovated single family house with seven bedrooms and eight and a half bathrooms. Each bedroom has it's own private bathroom. Right next to Tufts Park. the Green Line (T), Ball Square and Tufts University. Central A/C. Laundry in Unit. Off street parking. Large open concept kitchen with quartz countertops, kitchen island, stainless steel appliances, two refrigerators and","77 Winchester St, Medford, MA 02155",
"$4,800 per month",4 Beds,1 Bath,"1,400 Sq Ft",Condo for Rent,"Spacious 4-Bedroom Near Tufts University!Welcome to this exceptional 4-bedroom, 1-bathroom apartment located in Medford, just steps from Tufts University. This expansive unit offers:Gleaming hardwood floors throughoutLarge, comfortable bedroomsIn-unit washer and dryer for convenienceDishwasher for easy clean-upOff-street parking availablePerfectly situated","351 Boston Ave Unit 351, Medford, MA 02155",
"$7,000 per month",4 Beds,2 Baths,"2,500 Sq Ft",Condo for Rent,"Spacious 4-Bedroom Penthouse Near Tufts University!Welcome to this exceptional 4-bedroom, 2-bathroom apartment located at 39 Bonner Ave, #2, in Medford, just steps from Tufts University. This expansive unit offers:Modern stainless steel appliancesCentral AC/Heating for year-round comfortGleaming hardwood floors throughoutLarge, comfortable bedroomsIn-unit washer","39 Bonner Ave Unit 2, Medford, MA 02155",
"$4,100 per month",4 Beds,1 Bath,"1,500 Sq Ft",Condo for Rent,"Spacious 4 Bed, 1 Bath Apartment in Medford – Available 6/1/2025?? Address: 27 Princeton St, #1, Medford, MA 02155?? Bedrooms: 4?? Bathrooms: 1Description:This spacious and well-maintained 4-bedroom, 1-bath apartment is located in a quiet Medford neighborhood. Just minutes away from Tufts University and close to public transportation, it offers a great blend of","27 Princeton St Unit 1, Medford, MA 02155",
"$2,700 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"43 Orchard St, Medford, MA 02155",
"$2,900 per month",3 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,"Spacious Medford three bedroom one bath apartment with 2 levels of living space! First floor features a foyer and large living space, followed by a large master bedroom and a smaller office/guest bedroom. The unit also has a large bathroom and large eat in kitchen.The third bedroom is off of the kitchen on the second level! Hardwood floors throughout, and lots of natural light. Laundry hook ups","66 Kenmere Rd Unit 2A, Medford, MA 02155",
"$2,900 per month",3 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,"Spacious Medford three bedroom one bath apartment with 2 levels of living space! First floor features a foyer and large living space, followed by a large master bedroom and a smaller office/guest bedroom. The unit also has a large bathroom and large eat in kitchen.The third bedroom is off of the kitchen on the second level! Hardwood floors throughout, and lots of natural light. Laundry hook ups","66 Kenmere Rd Unit 2T, Medford, MA 02155",
"$3,600 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,Laundry in BuildingRent Includes WaterAvailable Now,"10 Pinkham Rd Unit 2A, Medford, MA 02155",
"$3,600 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,Laundry in BuildingRent Includes WaterAvailable Now,"10 Pinkham Rd Unit 2T, Medford, MA 02155",
"$3,000 per month",2 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,,"26 Bradlee Rd Unit 26 Bradlee Rd, Medford, MA 02155",
"$3,400 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,"6/1 -- Spacious 2 bedroom, 1 bathroom apartment in a three-family house with hardwood floors throughout. The eat-in kitchen is renovated with granite counter tops, updated cabinets, dishwasher, gas stove. There's a spacious dining room and living room. 2 good sized bedrooms with closets. Laundry is in the basement and there's front and back porches. Only a 6 minute walk to the new Green Line","430 Main St Unit 3, Medford, MA 02155",
"$2,500 per month",2 Beds,1 Bath,950 Sq Ft,Condo for Rent,Available 3/1. One off street parking spot is included. Tenants pay utilities. 1 month broker fee,"15 5th St Unit 3, Medford, MA 02155",
"$3,150 per month",3 Beds,1 Bath,999 Sq Ft,Condo for Rent,"3 bedroom, 1 bathroom apartment for rent at 12 Pinkham Rd, Medford, MA 02155.This spacious apartment features large windows that let in plenty of natural light, making it perfect for those who love a bright and open living space. The kitchen is equipped with modern appliances, including a refrigerator, stove, and dishwasher, making meal preparation a breeze.Located close to Tufts","12 Pinkham Rd Unit 1, Medford, MA 02155",
"$3,200 per month",2 Beds,2 Baths,999 Sq Ft,Condo for Rent,,"26 Bradlee Rd, Medford, MA 02155",
"$3,850 per month",3 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"Features: Hardwood Floors|Dishwasher|Disposal|Granite Countertops|New/Renovated Kitchen|Stainless Steel Appliances|New/Renovated Bath|Laundry in Building|YardLocated on William St in Medford, just off of Broadway (right along the Somerville/Medford line). Newly renovated. All refinished hardwood floors throughout. Brand new kitchen featuring all new Modern GE slate appliances including","44 William St Unit 2T, Medford, MA 02155",
"$4,750 per month",5 Beds,2 Baths,Condo for Rent,,"This nice 5 Bed 2 Bath place in the SOMERVILLE - TUFTS area is available for 06-01-2025.  Included Features are: Laundry in Basement.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties","62 Woods Ave Unit 2, Somerville, MA 02144",
"$3,900 per month",4 Beds,1 Bath,Condo for Rent,,"This nice 4 Bed 1 Bath place in the SOMERVILLE- WEST SOMERVILLE/ TEELE SQUARE area is available for 06-01-2025.  Included Features are: Deck, and Laundry in Basement.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and","56 Gordon St Unit 2, Somerville, MA 02144",
"$4,800 per month",4 Beds,1 Bath,Condo for Rent,,"This nice 4 Bed 1 Bath place in the SOMERVILLE - TUFTS area is available for 06-01-2025.  Included Features are: Laundry in Common Area. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","64 Chetwynd Rd Unit 2, Somerville, MA 02144",
"$6,000 per month",5 Beds,1 Bath,Condo for Rent,,"This nice 5 Bed 1 Bath place in the SOMERVILLE - TUFTS area is available for 06-01-2025.  Included Features are: Laundry in Basement. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties","50 Curtis Ave Unit 2, Somerville, MA 02144",
"$4,800 per month",4 Beds,1 Bath,Condo for Rent,,"This nice 4 Bed 1 Bath place in the SOMERVILLE - TUFTS area is available for 06-01-2025.  Included Features are: Laundry in Basement. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties","50 Curtis Ave Unit 1, Somerville, MA 02144",
"$3,400 per month",2 Beds,1 Bath,Condo for Rent,,"This nice 2 Bed 1 Bath place in the SOMERVILLE - MAGOUN/BALL SQUARE area is available for 09-01-2025.  Included Features are: Laundry in Basement.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","6 Hinckley St Unit 1, Somerville, MA 02145",
"$5,600 per month",4 Beds,2 Baths,Condo for Rent,,"This nice 4 Bed 2 Bath place in the SOMERVILLE - TUFTS area is available for Now.  Included Features are: Yard, Rear Porch, and Laundry in Unit.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","89 Bromfield Rd Unit 2, Somerville, MA 02144",
"$6,750 per month",5 Beds,2 Baths,Condo for Rent,,"This nice 5 Bed 2 Bath place in the SOMERVILLE - TUFTS area is available for 06-01-2026.  Included Features are: Laundry in Basement.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties","27 Upland Rd Unit 2, Somerville, MA 02144",
"$2,600 per month",2 Beds,1 Bath,Condo for Rent,,"This  2 beds 1 bath in Somerville is available In a few months.  Parking Street NO PETS Pets? Absolutely NO pets!;Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions","96 W Adams St Unit 2, Somerville, MA 02144",
"$5,200 per month",4 Beds,1 Bath,"1,494 Sq Ft",Townhouse for Rent,"4 bedroom, 1 bathroom unit in Somerville near the Tufts U. campus. Eat-in kitchen, hardwood floors, laundry in the unit and 1 off street parking spot is included. (Reference #180210)","12 Upland Rd, Somerville, MA 02144",
"$7,800 per month",5 Beds,2 Baths,"1,855 Sq Ft",Townhouse for Rent,"5 bedroom, 2 bedroom unit in Somerville. Eat-in kitchen, hardwood floors, coin-op laundry in the basement and there are 2 porches.  (Reference #179377)","15 Upland Rd, Somerville, MA 02144",
"$4,000 per month",4 Beds,3 Baths,"1,494 Sq Ft",Townhouse for Rent,"Located in the Magoun Square area of Somerville.  5 bedroom, 3 full bathroom apartment on the 2nd and 3rd floors of a two-family house.  Hardwood floors, coin-op laundry and an eat-in kitchen with a dishwasher and disposal. Cats are negotiable.  (Reference #144353)","512 Medford St, Somerville, MA 02145",
"$2,250 per month",2 Beds,1 Bath,772 Sq Ft,Townhouse for Rent,"Located in the Winter Hill area of Somerville.  Under 12 minute walk to Magoun Square T station on the Red Line.  This is a 2 bedroom / 1 bathroom apartment in a Two-Family. Hardwood floors throughout, eat-in kitchen, yard. (Reference #140988)","45 Moreland St, Somerville, MA 02145",
"$5,000 per month",4 Beds,2 Baths,"2,400 Sq Ft",Townhouse for Rent,"For January 1, 2025 - May 31, 2025 this is available for short term rental. New, spacious 4BR 2BA unit in 2-family house. Quiet one-way street; Walk to Tufts, Powerhouse, and Davis Sq.; Gleaming hardwood floors, tall ceilings, and fine finishes; Energy efficient windows, LED lighting, central air, and insulation throughout for low-cost heating and cooling; Spacious bedrooms with large closets;","58 Bromfield Rd, Somerville, MA 02144",
"$5,200 per month",4 Beds,1 Bath,Condo for Rent,,"Nice 4 beds 1 bath in Somerville. Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are pledged to this letter and","19 Sunset Rd Unit 1, Somerville, MA 02144",
"$3,700 per month",4 Beds,1 Bath,Condo for Rent,,"Nice 4 beds 1 bath in Somerville.  Parking DriveWayBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are pledged to","100 W Adams St Unit 2, Somerville, MA 02144",
"$3,200 per month",3 Beds,1 Bath,Condo for Rent,,"Beautiful  3 beds 1 bath in Somerville is available Now.  Parking DriveWay Dog OKBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was","111 North St Unit 2, Somerville, MA 02144",
"$10,400 per month",8 Beds,3 Baths,Condo for Rent,,"Beautiful  8 beds 3 baths in Somerville is available In a few months.  Parking DriveWay NO PETS Pets? NO PETS!!!;Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at","142 W Adams St, Somerville, MA 02144",
"$4,800 per month",4 Beds,1 Bath,"1,494 Sq Ft",Townhouse for Rent,Located in the Tufts area of Somerville.  Under 15 minute walk to Davis Square T station on the Red Line.  4 bedroom / 1 bathroom apartment in a Two-Family.  Coin operated laundry is on site.  1 off street parking spot is included.  (Reference #180387),"64 Chetwynd Rd, Somerville, MA 02144",
"$2,400 per month",2 Beds,1 Bath,900 Sq Ft,Condo for Rent,"NO FEE! 2BR/1B-Winter Hill-8 min walk to Green line/Magoun Sq. Easy commute to 93! Great Condition, Eat in kitchen, big rooms with tons of closets. Getting a fresh coat of paint and professional cleaning. Bathroom being worked on. Porch.","45 Main St Unit 3, Somerville, MA 02145",
"$5,000 per month",5 Beds,2 Baths,"1,500 Sq Ft",Condo for Rent,"6/1-5BR/2B  Great Location close to Tufts University and about a mile from Davis Square red line. 1 tandem off street parking Incl. Laundry on site. Modern Kitchen, Dishwasher/disposal/microwave. Small yard","62 Woods Ave Unit 2, Somerville, MA 02144",
"$5,000 per month",5 Beds,2 Baths,"1,600 Sq Ft",Condo for Rent,"June 1st lease start! NO PETS!5 bedrooms and 2 bathrooms, including 1 brand new bathroom in 2019. Hardwood floors. Great location very close to Tufts University and about a mile from Davis Square.  1 tandem off street parking spot included, laundry on site, dishwasher.   (Reference #179417)","52 Woods Ave Unit 2, Somerville, MA 02144",
"$5,200 per month",1-4 Beds,2 Baths,"1,500 Sq Ft",Condo for Rent,"6/1--4BR/2B Convenient to Davis Sq. Red line. Spacious 1st & 2nd floor of a 2 unit house. 2 off St. parking  Incl. Free Laundry in Basement. Nice Front Porch. Modern eat-in kitchen w/dishwasher, disposal, microwave, gas stove & refrigerator. Both bathrooms are updated. Cats & dogs ok!","179 College Ave Unit 1, Somerville, MA 02144",
"$3,250 per month",3 Beds,3 Baths,"1,150 Sq Ft",Condo for Rent,"1/2 Fee to Tenant! Avail now for Move in!  Located in the Magoun Square area of Somerville.  3 bedroom Plus office, 3 full bathroom apartment on the 2nd and 3rd floors of a two-unit house.  Hardwood floors, coin-op laundry and an eat-in kitchen with a dishwasher and disposal. Cat and dog are negotiable.","512 Medford St Unit 2, Somerville, MA 02145",
"$7,800 per month",5 Beds,2 Baths,"1,900 Sq Ft",Condo for Rent,"Avail: 6/1/25-5 bedroom, 2 bedroom unit in Somerville. Eat-in kitchen, hardwood floors, coin-op laundry in the basement and there are 2 porches.","15 Upland Rd Unit 2, Somerville, MA 02144",
"$2,400 per month",1-3 Beds,1 Bath,650 Sq Ft,Condo for Rent,,"454 Broadway Unit 3, Somerville, MA 02145",
"$2,995 per month",3 Beds,1 Bath,"1,235 Sq Ft",Condo for Rent,,"585 Broadway Unit 2, Somerville, MA 02145",
"$1,950 per month",Studio-2 Beds,1 Bath,450 Sq Ft,Condo for Rent,"Studio in a small building in Winter Hill. Galley kitchen with disposal, laundry on site and heat & hot water are included in the rent. There is also 1 parking spot.","474 Broadway Unit 37, Somerville, MA 02145",
"$3,100 per month",2 Beds,1 Bath,"9,999 Sq Ft",Townhouse for Rent,,"482 Broadway, Somerville, MA 02145",
"$3,800 per month",4 Beds,1.5 Baths,"1,800 Sq Ft",Townhouse for Rent,,"34 Bay State Ave, Somerville, MA 02144",
"$3,200 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"51 Fairfax St Unit 2, Somerville, MA 02144",
"$2,250 per month",2 Beds,1 Bath,775 Sq Ft,Condo for Rent,,"45 Moreland St Unit 1, Somerville, MA 02145",
"$2,500 per month",2 Beds,1 Bath,800 Sq Ft,Condo for Rent,,"45 Main St Unit 3, Somerville, MA 02145",
"$6,000 per month",4 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,"Stunning 4-bedroom, 1-bath apartment available for rent. This beautifully designed unit features an open layout that maximizes space and fills each room with natural light, creating a bright and inviting atmosphere. The kitchen complete with high-quality appliances, sleek countertops, and plenty of cabinet space, making it both functional and stylish. Each spacious bedroom boasts hardwood floors","29 Bromfield Rd Unit 2, Somerville, MA 02144",
"$4,900 per month",4 Beds,2 Baths,"1,200 Sq Ft",Condo for Rent,"Stunning 4-bedroom, 2-bath apartment available for rent. This beautifully designed unit features an open layout that maximizes space and fills each room with natural light, creating a bright and inviting atmosphere. The kitchen complete with high-quality appliances, sleek countertops, and plenty of cabinet space, making it both functional and stylish. Each spacious bedroom boasts hardwood floors","205 College Ave Unit 2, Somerville, MA 02144",
"$3,300 per month",3 Beds,3 Baths,"1,100 Sq Ft",Condo for Rent,,"512 Medford St Unit 2, Somerville, MA 02145",
"$3,045 per month",2 Beds,2 Baths,"2,000 Sq Ft",Condo for Rent,"Stunning 2bd/2bth property available for rent September 1st. This well-appointed apartment features:-Layout: Thoughtfully designed with an open layout that maximizes space and natural light, creating a bright and inviting atmosphere.-Kitchen: The modern kitchen is equipped with quality appliances, sleek countertops, and ample cabinet space, making it a functional and stylish space for","359 Lowell St Unit 1, Somerville, MA 02145",
"$3,900 per month",4 Beds,1 Bath,"1,025 Sq Ft",Condo for Rent,"Stunning 4bd/1bth property available for rent. This well-appointed apartment features:-Layout: Thoughtfully designed with an open layout that maximizes space and natural light, creating a bright and inviting atmosphere.-Kitchen: The modern kitchen is equipped with quality appliances, sleek countertops, and ample cabinet space, making it a functional and stylish space for","56 Gordon St Unit 2, Somerville, MA 02144",
"$3,600 per month",3 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"June 1st lease start! NO PETS!!!Sun palace with nice wide open feel.  Shiny hardwood floors throughout and a solid finished feel to the place.  New windows in every room.  1 off street parking spot is included.  Eat-in kitchen has a dishwasher and tile.  Honestly, it's a nice apartment on a great street.  Ref # 133040","49 Conwell Ave Unit 2, Somerville, MA 02144",
"$1,950 per month",Studio,1 Bath,400 Sq Ft,Condo for Rent,"Vacant, move-in ready! NO PETS!!!Studio in a small building in Winter Hill. Galley kitchen with disposal, laundry on site and heat & hot water are included in the rent. There is also 1 parking spot. (Reference #135539)","464 Broadway Unit 1, Somerville, MA 02145",
"$5,200 per month",4 Beds,2 Baths,"1,494 Sq Ft",Condo for Rent,"September 1st lease start!Cats and dogs are negotiable!4 bedroom really close to Davis Sq. Hardwood floors, renovated eat-in kitchen with dishwasher, disposal, microwave.  2 off street parking spots are included. Nice layout and close to Davis Square.(Reference #123954)","179 College Ave Unit 1, Somerville, MA 02144",
"$3,200 per month",2 Beds,1 Bath,850 Sq Ft,Condo for Rent,"Located in the Ball Square area of Somerville.  Updated 2+ bedroom, 1 bathroom apartment in a Three-Family.  Gorgeous hardwood floors throughout, newly updated bathroom! Updated kitchen with dishwasher.  Laundry is free in basement. Great location near Ball Sq and the Green Line! (Reference #180381)","114 Rogers Ave Unit 3, Somerville, MA 02144",
"$2,300 per month",1 Bed,1 Bath,600 Sq Ft,Condo for Rent,,"78 Decatur St Unit 3, Arlington, MA 02474",
"$2,995 per month",3 Beds,1 Bath,"1,235 Sq Ft",Condo for Rent,,"585 Broadway Unit 2, Somerville, MA 02145",
"$3,400 per month",2 Beds,1 Bath,"1,400 Sq Ft",Townhouse for Rent,,"6 Hinckley St, Somerville, MA 02145",
"$11,200 per month",6 Beds,3 Baths,"4,000 Sq Ft",Townhouse for Rent,,"741 Broadway, Somerville, MA 02144",
"$1,850 per month",1 Bed,1 Bath,375 Sq Ft,Condo for Rent,"Find the perfect fuse of comfort and convenience in this charming 1 Bedroom 1 Bathroom apartment located in Boston, this meticulously maintained space is ready to welcome you home. Heat and Hot water included. Laundry on site. Cats allowed.  Move in cost: First Month Rent, Last Month Rent and Broker’s Fee. Schedule a private showing today to experience the comfort and convenience this apartment","22 Saint Mary St, Malden, MA 02148",
"$1,800 per month",1 Bed,1 Bath,375 Sq Ft,Condo for Rent,"Find the perfect fuse of comfort and convenience in this charming 1 Bedroom 1 Bathroom apartment located in Boston, this meticulously maintained space is ready to welcome you home. Heat and Hot water included. Laundry on site. Cats allowed.  Move in cost: First Month Rent, Last Month Rent and Broker’s Fee. Schedule a private showing today to experience the comfort and convenience this apartment","22 Saint Mary St, Malden, MA 02148",
"$5,200 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"BEAUTIFUL 4 BED 1 BATH APARTMENT FOR RENT IN SOMERVILLE!AVAILABLE 6/1/25!Features:~ laundry in building~ tall ceilings~ large rooms~ great natural lighting~ hardwood flooring~ dishwasherDON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information","19 Sunset Rd Unit 19, Somerville, MA 02144",
"$7,500 per month",6 Beds,2.5 Baths,"9,999 Sq Ft",Condo for Rent,"BEAUTIFUL 5 BED 2.5 BATH APARTMENT FOR RENT IN SOMERVILLE!AVAILABLE 6/1/25!Features:~ dishwasher~ tall ceilings~ large rooms~ great natural lighting~ hardwood flooring~ three parking spaces includedDON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice.","16 Chetwynd Rd Unit 16, Somerville, MA 02144",
"$3,150 per month",3 Beds,1 Bath,"1,200 Sq Ft",Townhouse for Rent,,"115 Bartlett St, Somerville, MA 02145",
